Name:,Ricardo Amaral
Email:,rna5137@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 19.44 MPa,1073.0,1.38e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 20.75 MPa,1073.0,1.445e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 22.79 MPa,1073.0,2.49e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 24.33 MPa,1073.0,2.649e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 26.22 MPa,1073.0,4.093e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 27.48 MPa,1073.0,4.221e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 30.75 MPa,1073.0,6.127e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 37.43 MPa,1073.0,1.2712e-06,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 40.72 MPa,1073.0,1.6811e-06,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 47.29 MPa,1073.0,2.9864e-06,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 53.91 MPa,1073.0,4.6849e-06,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 66.87 MPa,1073.0,9.7194e-06,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 79.88 MPa,1073.0,1.72631e-05,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 5.39 MPa,1173.0,2.12e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 8.14 MPa,1173.0,6.68e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 11.51 MPa,1173.0,2.108e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 14.96 MPa,1173.0,7.537e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 18.38 MPa,1173.0,2.1678e-06,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 21.54 MPa,1173.0,4.5696e-06,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 28 MPa,1173.0,1.37671e-05,None,%/s,F4,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 81.23 MPa,923.0,2.431e-07,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 108.9 MPa,923.0,7.482e-07,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 121.8 MPa,923.0,7.619e-07,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 123.11 MPa,923.0,8.342e-07,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 142.16 MPa,923.0,1.3859e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 161.56 MPa,923.0,2.1806e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 164.16 MPa,923.0,3.0221e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 171.32 MPa,923.0,3.2495e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 181.66 MPa,923.0,4.5858e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 199.95 MPa,923.0,6.3555e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 195.73 MPa,923.0,7.0859e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 205.35 MPa,923.0,1.0183e-05,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 217.75 MPa,923.0,1.0183e-05,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 228.45 MPa,923.0,1.78636e-05,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 235.88 MPa,923.0,1.81904e-05,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 243.54 MPa,923.0,2.91452e-05,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 254.15 MPa,923.0,3.19107e-05,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 34.07 MPa,973.0,4.42e-08,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 38.11 MPa,973.0,1.221e-07,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 40.41 MPa,973.0,1.243e-07,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 40.41 MPa,973.0,1.115e-07,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 45.92 MPa,973.0,2.662e-07,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 53.89 MPa,973.0,4.503e-07,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 57.14 MPa,973.0,3.967e-07,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 59.63 MPa,973.0,8.192e-07,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 64.59 MPa,973.0,7.9e-07,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 65.63 MPa,973.0,1.0752e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 72.63 MPa,973.0,1.5734e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 74.59 MPa,973.0,1.5452e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 81.23 MPa,973.0,2.2612e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 87.99 MPa,973.0,3.3089e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 91.83 MPa,973.0,3.2495e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 96.85 MPa,973.0,3.1911e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 110.07 MPa,973.0,5.4974e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 116.72 MPa,973.0,6.2413e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 128.47 MPa,973.0,8.9692e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 17.22 MPa,1073.0,9.64e-08,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 20.87 MPa,1073.0,3.494e-07,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 24.75 MPa,1073.0,1.1149e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 26.66 MPa,1073.0,1.5452e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 25.82 MPa,1073.0,1.819e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 26.81 MPa,1073.0,1.9207e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 27.24 MPa,1073.0,2.1415e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 28.27 MPa,1073.0,2.1415e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 29.51 MPa,1073.0,2.7602e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 29.51 MPa,1073.0,3.1337e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 33.71 MPa,1073.0,4.7552e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 36.52 MPa,1073.0,6.7108e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 37.11 MPa,1073.0,7.3475e-06,None,%/s,F9,10.3390/met9070739
1,Fe65 Al25 Nb10,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 44.72 MPa,1073.0,1.33655e-05,None,%/s,F9,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 105.67 MPa,923.0,1.17e-08,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 118.81 MPa,923.0,2.21e-08,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 131.75 MPa,923.0,4.03e-08,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 143.12 MPa,923.0,6.72e-08,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 155.46 MPa,923.0,1.189e-07,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 165.41 MPa,923.0,1.953e-07,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 177.22 MPa,923.0,2.975e-07,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 188.56 MPa,923.0,4.142e-07,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 199.25 MPa,923.0,5.51e-07,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 210.55 MPa,923.0,7.905e-07,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 219.44 MPa,923.0,1.0519e-06,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 230.29 MPa,923.0,1.4864e-06,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 35.8 MPa,1023.0,1.46e-08,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 43.72 MPa,1023.0,3.82e-08,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 50.88 MPa,1023.0,1.03e-07,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 57.21 MPa,1023.0,2.218e-07,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 64.77 MPa,1023.0,3.642e-07,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 70.36 MPa,1023.0,6.646e-07,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 80.76 MPa,1023.0,1.5193e-06,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 87.12 MPa,1023.0,2.2799e-06,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 92.06 MPa,1023.0,3.0335e-06,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 97.95 MPa,1023.0,3.9757e-06,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 18.22 MPa,1123.0,1.4e-08,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 22.1 MPa,1123.0,1.68e-08,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 25.89 MPa,1123.0,3.5e-08,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 29.52 MPa,1123.0,7.77e-08,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 32.96 MPa,1123.0,1.505e-07,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 36.55 MPa,1123.0,2.788e-07,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 39.43 MPa,1123.0,4.864e-07,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 42.24 MPa,1123.0,8.357e-07,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 45.26 MPa,1123.0,1.3521e-06,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 48.49 MPa,1123.0,1.9689e-06,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 51.59 MPa,1123.0,2.5039e-06,None,%/s,F10,10.3390/met9070739
1,Fe72 Al27 Nb1,FeAl,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 54.52 MPa,1123.0,3.5382e-06,None,%/s,F10,10.3390/met9070739
2,Ta90 W8 Hf2,BCC,AC+HR+A+CR+A,None,creep rate,EXP,stress = 55.2 MPa,1478.0,3.9e-09,None,%/s,T1,NASA-TR-D5424
2,Ta90 W8 Hf2,BCC,AC+HR+A+CR+A,None,creep rate,EXP,stress = 55.2 MPa,1478.0,1.4e-09,None,%/s,T1,NASA-TR-D5424
2,Ta90 W8 Hf2,BCC,AC+HR+A+CR+A,None,creep rate,EXP,stress = 82.7 MPa,1478.0,2.4e-09,None,%/s,T1,NASA-TR-D5424
2,Ta90 W8 Hf2,BCC,AC+HR+A+CR+A,None,creep rate,EXP,stress = 138 MPa,1366.0,4.7e-09,None,%/s,T1,NASA-TR-D5424
2,Ta90 W8 Hf2,BCC,AC+HR+A+CR+A,None,creep rate,EXP,stress = 82.7 MPa,1433.0,9e-10,None,%/s,T1,NASA-TR-D5424
2,Ta90 W8 Hf2,BCC,AC+HR+A+CR+A,None,creep rate,EXP,stress = 138 MPa,1289.0,6e-10,None,%/s,T1,NASA-TR-D5424
2,Ta90 W8 Hf2,BCC,AC+HR+A+CR+A,None,creep rate,EXP,stress = 24.1 MPa,1589.0,3.3e-09,None,%/s,T1,NASA-TR-D5424
2,Ta90 W8 Hf2,BCC,AC+HR+A+CR+A,None,creep rate,EXP,stress = 34.4 MPa,1478.0,5e-10,None,%/s,T1,NASA-TR-D5424
2,Ta90 W8 Hf2,BCC,AC+HR+A+CR+A,None,creep rate,EXP,stress = 34.4 MPa,1478.0,6e-10,None,%/s,T1,NASA-TR-D5424
2,Ta90 W8 Hf2,BCC,AC+HR+A+CR+A,None,creep rate,EXP,stress = 103 MPa,1366.0,2.1e-09,None,%/s,T1,NASA-TR-D5424
2,Ta90 W8 Hf2,BCC,AC+HR+A+CR+A,None,creep rate,EXP,stress = 10.3 MPa,1700.0,2.5e-09,None,%/s,T1,NASA-TR-D5424
2,Ta90 W8 Hf2,BCC,AC+HR+A+CR+A,None,creep rate,EXP,stress = 117 MPa,1256.0,3e-10,None,%/s,T1,NASA-TR-D5424
2,Ta90 W8 Hf2,BCC,AC+HR+A+CR+A,None,creep rate,EXP,stress = 3.44 MPa,1700.0,0.0,None,%/s,T1,NASA-TR-D5424
2,Ta90 W8 Hf2,BCC,AC+HR+A+CR+A,None,creep rate,EXP,stress = 89.6 MPa,1366.0,1.5e-09,None,%/s,T1,NASA-TR-D5424
2,Ta90 W8 Hf2,BCC,AC+HR+A+CR+A,None,creep rate,EXP,stress = 34.4 MPa,1478.0,7e-10,None,%/s,T1,NASA-TR-D5424
